MOTIVO CHAMADO,NOME,CPF,SEXO,DATA NASCIMENTO,DATA ADMISSAO,NOME DA MAE,ESTADO CIVIL,PARENTESCO,ESTUDANTE,MATRICULA EMPRESA,CNPJ CLIENTE,CARTAO SUS,EMAIL,CEP,ENDERECO,NUMERO,COMPLEMENTO,BAIRRO,CIDADE,ESTADO,SALARIO,RG,CARGO,TELEFONE,CELULAR,DATA INICIO VIGENCIA,CODIGO PLANO,FIM VIGENCIA,PRAZO ESTAGIO/J APRENDIZ (MESES),C.CUSTO,DEPARTAMENTO,SETOR,TIPO EXTENSAO,INICIO PLANO EXTENSAO,FIM PLANO EXTENSAO,INICIO EXPEDIENTE,FIM EXPEDIENTE,PCD,CPF TITULAR,PLANO EXTENSAO,DESCRICAO,DATA ENTRELACE,CNPJ A TRANSFERIR,DEPENDENTE TITULAR,COD. OPERADORA
Consulta Médica,Anthony Smith,631-76-6489,F,1936-04-28,2007-01-09,Steven Short,Viúvo(a),Pai,Sim,5477024,7316147169000031,1234567890123456,uflowers@example.net,41062,43948 Richard Wall,2433,Apt. 207,Centro,East Julieburgh,WI,2594.3849360368754,5228995911,"Programmer, applications",001-724-499-2582x377,891-676-5779x778,2005-02-16,4,2049-04-22,4,CCusto3,Recursos Humanos,Setor A,Tipo3,2006-03-10,2048-06-12,02:23:35,16:11:02,Sim,387-72-0386,Plano C,House ago and history personal.,2018-09-02,9782887172080309,Sim,Operadora1
Exame Laboratorial,Ruben Chandler,112-58-0315,M,1932-06-30,2007-02-04,Sharon Williams,Solteiro(a),Pai,Não,6469104,4973845563059760,1234567890123456,zyoung@example.net,07780,213 Jessica Prairie,8778,Suite 289,Savassi,Austinton,LA,4806.762550287223,1451790171,Financial trader,9899082336,001-275-471-5540x5876,2013-02-17,9,2062-08-07,9,CCusto2,Recursos Humanos,Setor A,Tipo3,2019-11-10,2046-11-27,11:07:06,08:54:20,Não,523-34-1632,Plano B,Without PM lose growth mouth high.,2017-03-04,5799530691310101,Sim,Operadora3
Consulta Médica,Jordan Diaz,532-73-2754,F,1965-05-03,2006-10-18,David Short,Viúvo(a),Filho(a),Não,8221753,6288485042590577,9876543210987654,rjones@example.com,38734,80255 Frederick Ports Suite 596,90377,Suite 837,Centro,Rasmussenmouth,ME,2104.6154710803767,6216730091,Chartered certified accountant,933.298.3504,942.841.5605,2016-01-11,7,2097-02-01,8,CCusto3,Vendas,Setor A,Tipo2,2005-06-05,2058-09-06,12:18:16,16:11:46,Sim,008-11-1113,Plano A,Truth room address adult chance attention happen bar.,2011-01-10,8758243720223414,Sim,Operadora2
Exame Laboratorial,Samuel Stone,740-68-0138,F,1977-02-24,2018-05-12,Michele Sanchez,Casado(a),Pai,Não,5412636,5192549463368669,1234567890123456,rebeccasullivan@example.net,52715,19750 Raymond Ridge Suite 077,234,Suite 168,Moinhos de Vento,Brianville,PW,3304.922878634864,4376578547,"Engineer, land",398.946.8322x5323,(607)330-7601x479,2018-05-19,7,2047-10-26,11,CCusto1,Vendas,Setor C,Tipo1,2014-03-03,2081-11-26,13:42:54,17:36:10,Sim,233-49-2048,Plano C,Memory room above reveal foreign.,2006-01-04,2528450813277983,Não,Operadora1
Odontologia,Michael Cook,173-88-4795,F,1977-02-11,2008-01-01,Michael Rocha,Solteiro(a),Cônjuge,Sim,6460123,8714452578204967,9876543210987654,forozco@example.com,08756,527 Moore Flats Apt. 834,34373,Apt. 080,Copacabana,Cunninghambury,KS,4783.003870570115,2546750791,Higher education lecturer,(626)745-3925x4319,(956)780-4045x581,2011-09-21,4,2081-01-06,7,CCusto2,Financeiro,Setor B,Tipo2,2021-04-19,2051-04-23,09:19:38,01:29:01,Sim,070-95-3515,Plano A,Build house must their my during arrive.,2014-03-26,5078430081101848,Sim,Operadora1
Exame Laboratorial,Julie Young,425-13-4240,F,1993-01-26,2022-11-16,Mark Robbins,Viúvo(a),Filho(a),Não,4791456,1961650288673383,9876543210987654,james03@example.net,17084,06986 Misty Stream Suite 140,0372,Apt. 270,Savassi,Port Saraville,WA,4019.902081679791,4145327884,Insurance broker,777-255-0668x0471,3846307414,2010-11-14,2,2045-06-12,8,CCusto2,Financeiro,Setor B,Tipo3,2018-07-06,2033-07-20,23:58:58,23:38:43,Sim,017-19-0193,Plano B,Lead fish may let husband agreement economy.,2010-06-20,8479211529417907,Não,Operadora2
Odontologia,Julie Palmer,442-02-9956,F,1947-08-15,2015-01-29,Brandy Greer,Solteiro(a),Cônjuge,Sim,3205917,829343117368660,9876543210987654,bsimpson@example.org,56830,133 Todd Squares Suite 526,938,Apt. 607,Copacabana,South Rachelview,PA,1384.1996958066209,7131296877,Field seismologist,240-336-8694,(530)951-2550x555,2020-11-10,7,2096-10-31,7,CCusto2,Recursos Humanos,Setor B,Tipo1,2013-11-03,2080-11-28,23:35:45,01:17:25,Não,248-67-5822,Plano B,Whole agent suggest body community week.,2014-10-10,9091233782379870,Não,Operadora3
Consulta Médica,Johnathan Bray,056-04-6487,F,1931-05-01,2011-02-10,Jessica Rice,Casado(a),Filho(a),Não,1224844,6871604066889857,9876543210987654,rachaelkerr@example.net,26919,79432 Rodgers Fields,409,Apt. 499,Savassi,Port Stephanie,MT,1060.0493071662704,9639182897,Applications developer,(345)221-3617,5018765635,2021-11-18,1,2026-10-11,4,CCusto3,Financeiro,Setor C,Tipo2,2007-09-22,2067-09-16,03:45:01,03:18:51,Não,194-60-3142,Plano C,Song push pull.,2011-04-03,6291101765590233,Sim,Operadora2
Exame Laboratorial,Sheila Sanchez,140-03-0870,M,1980-11-12,2022-10-21,Taylor Parker,Solteiro(a),Mãe,Não,7311924,3859814359595268,9876543210987654,vroberts@example.net,08940,147 Wang Plaza,3110,Suite 549,Moinhos de Vento,West Kathryn,ND,4994.262366155211,7127628664,Community arts worker,+1-306-959-2146x42417,3518734270,2017-06-02,10,2065-01-15,11,CCusto1,Recursos Humanos,Setor C,Tipo2,2023-02-21,2064-10-06,22:32:20,03:03:59,Não,254-38-8804,Plano B,Toward true industry practice.,2019-08-11,2087213082830055,Não,Operadora1
Exame Laboratorial,David Holmes,385-06-7113,M,1922-07-16,2014-07-18,Kelly Gonzalez,Solteiro(a),Mãe,Não,3253821,9732281051902119,9876543210987654,davidsmith@example.org,04276,32704 Julie Pass Suite 665,05847,Apt. 118,Centro,Port Juan,NV,3369.949602557621,9547461056,"Engineer, energy",412-975-9541,784.677.7742,2018-03-13,6,2027-02-01,1,CCusto2,Vendas,Setor C,Tipo2,2021-10-07,2058-02-24,14:02:40,10:39:28,Sim,269-34-9715,Plano C,More education leave network mission success.,2018-04-08,1186332088279396,Sim,Operadora2
Exame Laboratorial,Jeffrey Burton,437-50-5937,F,1930-07-05,2021-06-18,Amanda Rodgers,Solteiro(a),Filho(a),Não,6850271,4025730183688783,9876543210987654,richard15@example.com,29608,940 Angela Wells,4657,Suite 417,Centro,Colinport,NV,1884.0516594264586,1446821985,Television/film/video producer,6312916422,(453)895-7180x95064,2015-09-23,6,2053-07-13,6,CCusto1,Vendas,Setor B,Tipo1,2014-12-12,2071-03-10,11:39:15,01:12:10,Não,749-74-5770,Plano C,Industry down computer foreign throw rich soon.,2014-10-06,367793858202832,Não,Operadora2
Exame Laboratorial,Michael Burke,768-70-0700,F,1974-06-25,2011-02-19,Jessica Schwartz,Viúvo(a),Cônjuge,Não,8017807,4945851565446621,9876543210987654,lunamarvin@example.org,26224,906 Perry Radial,8623,Suite 798,Savassi,East Julieborough,NY,2964.448768453257,7083694170,Medical technical officer,7953407297,577.904.7234,2023-06-27,6,2025-04-10,12,CCusto2,Recursos Humanos,Setor C,Tipo3,2016-11-01,2050-09-18,12:27:11,02:28:24,Sim,202-45-2393,Plano C,Occur clearly million dream out spend.,2022-02-15,8823868709044206,Sim,Operadora2
Consulta Médica,Matthew Butler,092-16-4285,M,1982-04-27,2011-01-07,Jon Hughes,Casado(a),Pai,Não,5516874,7919018629241743,9876543210987654,brianarobinson@example.com,76301,0178 Smith Parkway,918,Apt. 470,Savassi,New Brendafort,KY,3409.327954362933,8530432824,Advertising account planner,+1-891-741-6473x578,001-894-407-8240x09241,2010-05-29,4,2044-04-28,4,CCusto1,Recursos Humanos,Setor B,Tipo3,2017-03-24,2090-10-31,14:31:23,14:08:02,Sim,366-37-4082,Plano C,Hand meet mention soldier field state.,2017-10-01,6164150999051513,Não,Operadora1
Consulta Médica,Michelle Bernard,474-29-6957,M,1983-08-05,2011-10-13,Karen Higgins,Solteiro(a),Pai,Não,4590920,3952332748902013,1234567890123456,johnrobbins@example.org,50282,9179 Javier Manors Suite 891,5502,Apt. 697,Copacabana,Kaylatown,OK,1148.2555736064892,3096686433,Insurance underwriter,4343545028,599-796-2931x90529,2005-10-02,7,2069-09-07,8,CCusto3,Recursos Humanos,Setor A,Tipo2,2011-10-26,2097-09-10,00:44:49,08:52:03,Não,769-95-0923,Plano A,Most until with exactly staff between town.,2019-05-13,5802655574059876,Não,Operadora2
Exame Laboratorial,Jennifer Moore,347-99-9070,M,1908-11-12,2008-05-28,Steven Lam,Viúvo(a),Mãe,Não,2463231,6101004958912572,9876543210987654,aaguilar@example.org,96751,998 Nicole Stravenue Apt. 644,332,Apt. 250,Savassi,Donnabury,NC,3951.554796223322,9627538035,Dance movement psychotherapist,566.586.0162,2804780018,2012-04-29,1,2049-11-29,10,CCusto1,Financeiro,Setor C,Tipo2,2014-03-12,2047-11-02,03:46:16,05:46:36,Não,132-44-1055,Plano B,Allow fast so southern stage either.,2019-07-03,2774811807408570,Sim,Operadora1
Consulta Médica,David Gilbert,324-01-1989,F,1908-11-05,2012-01-09,Richard Figueroa,Viúvo(a),Pai,Não,2757675,8849809696179034,9876543210987654,oscarhall@example.net,29173,5134 Kevin Brooks,783,Suite 796,Moinhos de Vento,Coleton,CO,4137.096133252469,1641045213,Data processing manager,+1-903-317-9114x238,918.880.9443x572,2010-08-06,1,2041-06-26,12,CCusto2,Financeiro,Setor C,Tipo2,2003-06-07,2028-06-05,10:03:08,14:57:10,Sim,441-03-7941,Plano B,Force sure popular itself especially social.,2018-05-25,5058617748114020,Sim,Operadora1
Consulta Médica,Mary Lamb,844-96-9148,F,1989-08-18,2014-10-29,Joseph Johnson,Casado(a),Pai,Sim,2351118,9025028938670963,1234567890123456,luis46@example.net,47674,338 Sharon Port,114,Suite 752,Centro,North Karlbury,CT,3528.2321329438687,2156841666,Manufacturing engineer,613.696.8583x5215,(228)461-4265,2018-05-04,4,2052-10-11,1,CCusto2,Vendas,Setor A,Tipo3,2004-11-22,2091-12-16,11:44:47,03:18:25,Não,217-53-0971,Plano C,Positive go body in.,2013-06-26,1075369698672372,Sim,Operadora1
Consulta Médica,Jeffrey Dillon,166-43-3567,M,2007-02-03,2000-11-06,Kimberly Hernandez,Solteiro(a),Pai,Sim,6472717,6653374499969156,9876543210987654,vegascott@example.net,72867,45976 Patterson Circle Apt. 685,0249,Apt. 877,Savassi,Jacobville,VI,1506.4185657743972,6513591731,"Engineer, site",(577)330-9584x05574,808.270.6979,2022-07-17,2,2081-09-06,11,CCusto1,Recursos Humanos,Setor C,Tipo3,2006-06-01,2085-10-22,15:33:18,09:46:42,Sim,074-28-8364,Plano C,Actually but know none.,2012-11-03,5435842605688730,Não,Operadora3
Exame Laboratorial,Mr. Donald Lewis,120-46-8114,F,1917-04-16,2007-06-06,Michael Carlson,Casado(a),Cônjuge,Não,1697149,1427676309889269,1234567890123456,alexandrafigueroa@example.org,61084,38329 Jason Parkway,539,Suite 990,Centro,West Natalie,TN,3460.7857357218486,8754379457,Archaeologist,001-788-343-4109x722,541-636-2705x201,2020-06-30,4,2047-05-11,11,CCusto3,Vendas,Setor B,Tipo3,2017-05-29,2061-07-16,01:26:53,07:15:19,Não,704-98-7805,Plano B,Share entire not ready land.,2006-10-14,6489783399382750,Sim,Operadora1
Exame Laboratorial,Lauren Fox,529-49-7893,F,1996-07-08,2008-01-23,Suzanne Mooney,Viúvo(a),Cônjuge,Sim,5731922,8739775994608001,9876543210987654,emunoz@example.com,19752,91539 Martin Skyway Suite 884,806,Apt. 750,Copacabana,West Pamela,MN,4520.260823981094,2508912236,"Scientist, water quality",001-378-655-7336,(972)207-0963,2011-04-05,8,2062-02-12,4,CCusto3,Financeiro,Setor C,Tipo1,2011-02-21,2048-11-07,02:40:47,11:51:16,Sim,076-72-8412,Plano C,Ability true continue may.,2005-02-01,1664604174400448,Não,Operadora2
Consulta Médica,Juan Ramos,858-64-8650,M,1935-07-16,2007-09-01,Leslie Ortega,Viúvo(a),Filho(a),Sim,2006551,8768554631293220,9876543210987654,william85@example.net,67929,92127 Alexander Springs Suite 140,0755,Apt. 419,Copacabana,New Benjaminbury,TN,1014.2619579736873,3553767808,"Lecturer, higher education",+1-697-761-3708x910,(794)883-8668x719,2015-05-21,7,2076-04-14,4,CCusto2,Recursos Humanos,Setor B,Tipo1,2007-05-11,2092-08-05,19:22:18,00:13:23,Não,099-49-2984,Plano B,If thank energy job pull fire.,2006-02-09,6505043171701012,Não,Operadora1
Consulta Médica,Kathleen Bailey,308-57-7754,F,1938-04-27,2014-07-30,Anthony Mcdaniel,Viúvo(a),Pai,Não,8608533,5381508657239456,1234567890123456,timothy02@example.net,79748,47124 Christopher Motorway,05712,Apt. 639,Moinhos de Vento,Guerrerochester,MP,4437.709290181952,4356086490,Animal technologist,730-645-6917,(375)293-3463x123,2018-03-04,5,2079-03-29,1,CCusto1,Recursos Humanos,Setor A,Tipo3,2010-09-18,2074-01-26,00:39:51,23:53:18,Não,411-81-5703,Plano A,Cell catch Congress responsibility soon put gas.,2020-09-10,6834168318985315,Não,Operadora1
Exame Laboratorial,Jeffrey Davis,044-89-2129,F,1981-12-23,2019-03-26,Carol Mercer,Solteiro(a),Mãe,Sim,1511470,8830417907676178,9876543210987654,vanessawhite@example.org,79503,3549 Jeremy Neck Apt. 547,001,Suite 767,Copacabana,Raymondmouth,SC,2419.352302301668,2799037129,Civil Service administrator,5354308839,(905)952-1851,2002-02-06,10,2060-02-04,3,CCusto2,Recursos Humanos,Setor C,Tipo3,2006-11-18,2033-11-28,18:43:04,05:04:24,Não,517-54-6997,Plano A,Page amount city sea international eye.,2021-06-09,1828905494229547,Não,Operadora1
Exame Laboratorial,Teresa Figueroa,063-18-9056,F,1936-05-09,2014-04-23,Mark Andrews,Viúvo(a),Cônjuge,Sim,7315287,316317395958660,1234567890123456,orodgers@example.net,98471,595 Fitzgerald Land,512,Apt. 099,Centro,Coleshire,TX,1919.7868579787519,5462559131,Nature conservation officer,001-633-672-6726x87694,001-372-538-4153,2008-07-09,6,2074-02-01,3,CCusto1,Vendas,Setor C,Tipo2,2012-08-18,2087-02-08,20:29:16,22:11:43,Sim,879-19-7062,Plano C,Program green house door how age.,2022-07-15,4846892777506101,Não,Operadora3
Consulta Médica,Michael Fowler,733-90-3904,F,1909-07-02,2000-05-09,Valerie Walters,Viúvo(a),Pai,Sim,8425677,1679249569451879,1234567890123456,jeremyhansen@example.com,58178,54351 Kelsey Prairie,966,Suite 752,Centro,Harrisstad,PA,1668.0890753898802,8573296706,Chartered certified accountant,+1-974-808-8653x1773,570-416-0530x807,2021-06-20,6,2073-02-18,12,CCusto2,Recursos Humanos,Setor A,Tipo3,2009-05-24,2078-02-16,15:44:55,10:31:07,Sim,194-71-6065,Plano B,Minute defense movie debate young growth.,2000-10-28,506713851195284,Sim,Operadora3
Exame Laboratorial,James Allison,636-34-4751,M,1981-05-06,2000-03-19,Kelly Jones,Viúvo(a),Filho(a),Não,7836872,9404234394911062,1234567890123456,pconley@example.org,99658,56295 Cathy Squares,99607,Apt. 642,Copacabana,Rachelchester,OK,4218.705042848662,6834011525,"Designer, furniture",694.813.7599,001-901-363-5776x5380,2017-01-05,6,2036-05-15,1,CCusto1,Recursos Humanos,Setor B,Tipo3,2018-04-27,2056-01-24,14:54:47,14:16:20,Não,083-83-5184,Plano A,Agent Congress Congress later give floor much.,2008-02-15,5251667901551933,Não,Operadora3
Consulta Médica,Denise Jordan PhD,566-65-0947,M,1945-03-10,2004-04-27,Audrey Smith,Viúvo(a),Cônjuge,Não,2467407,3693921076454689,9876543210987654,elizabeth33@example.org,29760,566 Richard Cape Suite 977,02612,Apt. 887,Moinhos de Vento,Lake Stephanieland,AR,3165.407773933908,5828854289,"Education officer, environmental",001-623-640-0024x964,(641)740-4343,2019-01-19,1,2094-07-31,8,CCusto3,Financeiro,Setor B,Tipo1,2021-07-05,2082-04-01,20:00:36,06:43:23,Sim,002-59-6539,Plano B,Degree sea around own participant provide.,2018-04-05,1887468341925103,Sim,Operadora1
Consulta Médica,Carolyn Floyd,489-13-7997,F,1997-01-08,2018-06-06,Lauren Hall,Viúvo(a),Mãe,Não,6220622,5189310320786707,9876543210987654,blyons@example.com,03421,73150 Angela Spurs Suite 501,68688,Suite 584,Centro,Danielleside,AK,2638.7544597200713,6148963182,Television camera operator,001-371-544-5134x7253,(988)712-0571x44877,2003-08-21,6,2040-01-04,11,CCusto2,Recursos Humanos,Setor A,Tipo1,2005-12-19,2049-09-19,02:18:12,10:04:05,Não,678-35-9466,Plano B,Show small drug consumer show close.,2016-10-07,6399477794688432,Sim,Operadora3
Consulta Médica,Mary Richmond,436-75-9857,F,1915-04-25,2020-12-26,Steven Cooley,Solteiro(a),Pai,Não,7701268,6077298384604647,1234567890123456,cjones@example.com,34156,369 Rachel Parkway Apt. 044,817,Suite 629,Savassi,Timothyton,WY,2944.6798582150604,8859488323,Management consultant,(361)955-0964x021,826.368.1877x871,2017-06-15,8,2098-08-13,10,CCusto1,Recursos Humanos,Setor A,Tipo3,2016-05-21,2051-01-12,03:50:10,01:59:37,Não,444-81-5740,Plano A,Interview two like and evening job little within.,2009-04-23,9326561571033221,Não,Operadora1
Consulta Médica,Elizabeth Montoya,743-82-1582,F,2022-03-03,2013-01-01,Benjamin Smith,Viúvo(a),Mãe,Sim,5450739,2547326703601119,1234567890123456,corylopez@example.org,32863,27098 Briggs Shores,2953,Suite 251,Savassi,Christinahaven,KY,4062.6032633921127,5128703692,"Designer, television/film set",959.863.7696x4263,996.937.8828x740,2017-03-10,10,2057-03-06,6,CCusto2,Recursos Humanos,Setor A,Tipo1,2008-09-23,2072-03-24,14:41:24,23:48:25,Não,471-52-4510,Plano B,Citizen challenge for adult firm generation.,2004-01-18,7341286347315864,Não,Operadora1
Odontologia,Diana Carlson,507-99-2941,F,1950-06-30,2005-04-29,Susan Cortez,Solteiro(a),Mãe,Sim,9910942,4154035187425787,1234567890123456,jonesjason@example.org,88155,68632 Macias River,973,Suite 351,Copacabana,New Dawnborough,PW,3389.018593449603,2338726571,Police officer,(866)249-0629x095,596-403-2775x3348,2007-01-15,2,2061-10-29,2,CCusto3,Recursos Humanos,Setor A,Tipo3,2002-01-28,2043-06-20,15:45:03,10:16:03,Não,886-75-5546,Plano B,Wife institution truth prove pass director small.,2014-01-14,9857446226942186,Sim,Operadora2
Exame Laboratorial,William Adams,633-77-1757,M,1936-01-23,2004-11-05,Natalie Hoffman,Viúvo(a),Mãe,Sim,8914101,6318914663829652,1234567890123456,kevinwebb@example.net,48979,88691 Lewis Ports Apt. 446,974,Suite 801,Centro,Port Wendy,NY,3621.150537892038,1858307720,"Therapist, speech and language",499.878.3520x80027,001-952-202-0759,2020-10-29,9,2091-08-14,12,CCusto3,Financeiro,Setor C,Tipo1,2017-05-01,2069-01-27,00:40:02,11:49:50,Sim,588-27-6494,Plano C,Hold leg exactly project dog free college possible.,2020-06-02,4685160885661143,Sim,Operadora1
Consulta Médica,Brittany Frey,063-14-7834,F,2010-08-27,2010-01-10,Melinda Salinas,Viúvo(a),Mãe,Sim,9993856,6040902875735968,1234567890123456,sonia26@example.org,03491,23335 Laura Fall,88554,Apt. 702,Copacabana,North Brandon,GA,2302.755859816474,6962228914,"Therapist, sports",(349)504-3888x0946,001-474-206-3295x83050,2008-09-05,9,2082-10-18,6,CCusto1,Recursos Humanos,Setor C,Tipo2,2016-09-24,2057-09-24,21:13:12,05:42:26,Sim,270-28-8205,Plano A,Property property but part official tend.,2018-01-30,9023737860190811,Sim,Operadora1
Consulta Médica,Cynthia Harris,870-84-5541,F,2005-05-19,2003-09-13,Jacob Frank,Viúvo(a),Pai,Sim,9393388,5583729301566816,9876543210987654,crystal05@example.net,56708,621 Christopher Hills,7306,Apt. 414,Copacabana,Brentview,NE,1856.8416856176361,6543492116,Publishing rights manager,3778373252,872-555-1188,2000-10-24,8,2081-11-22,9,CCusto2,Recursos Humanos,Setor C,Tipo3,2022-08-06,2040-09-12,14:14:39,15:05:04,Não,247-94-3212,Plano A,Begin just conference thousand difficult series.,2018-10-02,7431367296241878,Não,Operadora3
Exame Laboratorial,Sarah Bailey,034-46-3270,M,1993-08-20,2006-06-01,Barbara Young,Casado(a),Pai,Não,3466504,8280278740561290,9876543210987654,haasnicholas@example.com,06625,7752 Jones Circles Suite 365,521,Suite 169,Savassi,Lake Michaelton,WI,2924.3924220115696,5993621622,Restaurant manager,480.533.5747x4212,001-414-644-4085x28407,2009-11-16,4,2069-10-22,3,CCusto2,Financeiro,Setor A,Tipo3,2022-08-26,2031-04-11,06:04:43,17:00:31,Não,489-21-0660,Plano B,Point trouble girl fish young road until explain.,2000-09-04,7638677792593605,Não,Operadora2
Odontologia,Jasmine Moore DDS,586-65-3565,F,1946-11-16,2001-08-13,Paula Graham,Casado(a),Pai,Não,2430841,4830977765518753,9876543210987654,lindseyturner@example.com,79486,8430 Graves Causeway,7495,Suite 147,Savassi,East Sarahfurt,GA,1829.859575205384,9599278118,Mining engineer,961-762-9787x332,+1-202-533-6433x6477,2007-01-28,1,2056-03-20,1,CCusto2,Financeiro,Setor A,Tipo2,2019-02-09,2054-08-23,10:43:10,02:19:41,Não,575-96-3880,Plano C,Seek positive attack contain.,2022-10-28,7338381241240742,Sim,Operadora1
Exame Laboratorial,Tom Rogers,595-20-4521,M,2011-05-02,2018-07-24,Judy Hayes,Solteiro(a),Mãe,Não,3926330,4524793606248989,1234567890123456,kathleen55@example.org,25561,3143 Mary Views,6114,Apt. 054,Savassi,Port Robin,KS,2397.6653521257253,6984091705,Animal technologist,7374740116,(533)341-0401x829,2013-10-17,7,2075-11-05,3,CCusto3,Financeiro,Setor B,Tipo1,2011-02-28,2063-09-16,12:34:41,09:46:39,Não,549-05-8356,Plano C,Military let whom nor.,2003-08-27,512798884288742,Sim,Operadora1
Exame Laboratorial,Troy Hayes,898-32-6482,F,2011-08-17,2008-09-04,Nicole Martinez,Solteiro(a),Mãe,Não,7502036,8998064379155977,1234567890123456,williamsjeanne@example.org,17803,800 Chad Streets,17785,Suite 560,Savassi,New Tracytown,FM,3349.7800629760713,6600864823,"Accountant, chartered certified",+1-558-696-4706x49180,001-749-358-4197x504,2005-02-07,6,2038-01-24,12,CCusto1,Recursos Humanos,Setor B,Tipo3,2016-05-11,2035-07-15,15:58:22,09:16:27,Sim,108-95-5658,Plano A,Maybe memory that husband capital product choice.,2020-09-09,4064673080340515,Sim,Operadora1
Exame Laboratorial,Eric Delacruz,253-34-5615,M,1911-10-12,2015-11-15,Samantha Levine,Viúvo(a),Filho(a),Não,2377050,6698491440947160,1234567890123456,vparrish@example.net,97690,07841 Bender Roads,9896,Suite 627,Moinhos de Vento,South Tracie,FL,1630.2978022377165,6218535756,Research scientist (maths),+1-783-982-2994x113,(486)630-0482x69380,2015-10-30,9,2074-02-23,9,CCusto3,Vendas,Setor A,Tipo3,2008-07-06,2058-06-24,12:29:30,19:10:45,Sim,304-19-3772,Plano A,Agreement deal rather new bad.,2021-03-29,9485698692846595,Não,Operadora2
Exame Laboratorial,Austin Williams,105-73-2675,F,1990-01-14,2023-05-22,Jason Turner,Solteiro(a),Filho(a),Não,753959,6840324264086555,9876543210987654,cameronbaird@example.com,33341,0956 Shane Estate Apt. 903,11105,Suite 855,Copacabana,Hectorborough,OH,3640.785681546468,3481185770,"Embryologist, clinical",402-454-9790x126,001-805-528-8501x80814,2006-09-28,4,2072-02-05,12,CCusto1,Financeiro,Setor A,Tipo2,2013-09-28,2068-10-01,16:04:21,14:52:31,Sim,162-85-5745,Plano C,Window movement push family.,2000-10-24,7554197915351879,Não,Operadora1
Consulta Médica,Kimberly Brown,015-77-5465,F,1963-01-22,2001-07-04,Maria Williams,Casado(a),Mãe,Sim,2042922,4236356565531324,9876543210987654,alexanderward@example.org,93313,328 Delgado Bypass,450,Apt. 109,Savassi,Claytonstad,OR,3917.282552682805,890315004,Ship broker,+1-721-604-1329x8473,(251)430-0674,2013-09-18,3,2081-08-30,3,CCusto3,Vendas,Setor B,Tipo1,2012-12-13,2050-02-12,21:01:06,02:07:41,Não,717-62-5394,Plano B,Consumer amount rule lot question former program.,2004-05-01,7209816042007350,Não,Operadora3
Odontologia,Tiffany Kelly,319-64-8978,M,1930-08-01,2003-06-04,James Andrade,Viúvo(a),Cônjuge,Não,7260342,2852297074062275,1234567890123456,michaelbishop@example.net,41404,51555 Esparza Junctions Suite 309,507,Suite 243,Moinhos de Vento,Jameston,NM,2101.3284881678214,6954726497,"Geologist, wellsite",753-913-4012x730,+1-756-706-6848x3629,2006-04-15,7,2062-12-05,6,CCusto3,Vendas,Setor C,Tipo1,2005-04-27,2033-02-20,01:07:44,04:29:35,Sim,877-51-9183,Plano C,Cold drop particular major step himself.,2016-07-07,6458667700230787,Sim,Operadora1
Consulta Médica,Robin Hawkins,147-20-0738,F,1955-10-03,2015-09-05,Kenneth Clark,Viúvo(a),Cônjuge,Não,2044874,8949070759939393,9876543210987654,randy09@example.net,34460,14317 Rachel Coves,3272,Apt. 068,Moinhos de Vento,North Whitneyville,GA,3942.8599390549352,2423688204,"Conservator, museum/gallery",(286)288-9465,525-343-9451,2009-07-20,1,2074-09-21,10,CCusto3,Financeiro,Setor A,Tipo2,2017-08-07,2094-06-20,23:13:12,18:26:05,Não,546-30-4258,Plano C,Democratic about response ahead look six.,2003-01-28,6980641458053582,Sim,Operadora2
Odontologia,Alicia Coleman,116-53-2730,F,2008-10-28,2011-06-06,Tiffany Brown,Casado(a),Filho(a),Não,5781251,673556108792148,1234567890123456,carlaperkins@example.com,91575,005 Griffith Union,082,Suite 553,Copacabana,Lake Joy,VI,2924.0457389785724,1208526075,Advertising account planner,547-320-9865x127,001-903-577-0241x44698,2004-07-10,6,2091-09-27,10,CCusto3,Vendas,Setor B,Tipo1,2018-01-26,2058-12-20,12:44:27,14:57:21,Sim,597-14-2767,Plano A,Cost officer several city become.,2005-03-23,903110107911158,Não,Operadora3
Exame Laboratorial,Alison Harper,342-09-4738,F,1949-06-26,2013-09-21,Christopher Herrera,Solteiro(a),Cônjuge,Não,4201503,207020034965786,1234567890123456,dustinmurphy@example.com,31518,829 Thomas Road Apt. 448,9484,Suite 472,Centro,Penningtonshire,SC,3101.8277503823315,7424645863,Scientific laboratory technician,001-201-711-3521x04846,558-949-2038x964,2011-08-28,10,2087-07-28,12,CCusto3,Financeiro,Setor B,Tipo2,2009-07-31,2062-12-28,14:35:56,21:08:45,Sim,679-23-8412,Plano C,Study force foreign you agent source.,2016-10-23,6387558879169520,Não,Operadora3
Consulta Médica,Mr. Derrick Moore,301-69-9331,M,1925-09-04,2008-09-23,Carol Brown,Solteiro(a),Filho(a),Não,7411815,6759829331840678,9876543210987654,beth60@example.net,62008,148 Sarah Mills Apt. 612,65610,Apt. 018,Savassi,Hamiltonmouth,DC,4245.748442033801,6068908776,Immigration officer,001-647-739-4264,857.380.9691,2000-10-06,5,2037-03-12,3,CCusto1,Recursos Humanos,Setor B,Tipo1,2011-12-20,2046-02-13,19:27:44,07:58:03,Sim,502-91-2022,Plano A,Entire better power street dog Congress.,2023-08-03,5886793891694854,Não,Operadora1
