Operadora,Código do Cliente,Razão Social do Cliente,Código do Associado,Nome do Associado,Tipo de Associado,Sexo,Data de Nascimento,Grupo Tipo de Atendimento,Valor,Data do Atendimento,Competência,CGC do Prestador Local,Nome do Prestador Local,Especialidade - Descrição,Prestador Local Próprio,Cidade do Prestador Local,Estado do Prestador Local,Código do Procedimento,Nome do Procedimento,Código do CID,Qtd Procedimentos,Cód do Grupo de Contrato,Plano - Código,Plano - Descrição,GUIA,Especialidade - Codigo,Classe de procedimento,Grupo Familiar,CPF Titular,Carteirinha Titular,Nome Titular
C,4404,Lam-Bray,65452,Hannah Guerrero,clearly,M,1959-07-16,box,69018.79275253584,2015-01-09,April 1994,88545861,Harper-Farmer,back,Não,Stephensfurt,DE,832,including,B01,3,4,923,break,15388,8870,C,Sim,871-32-2612,500010,Nathan Garcia
C,2533,"Vazquez, Johnson and Parker",30947,Robert Brown,project,F,2000-03-28,her,79765.71877654371,2014-03-09,February 1981,40426741,"Rose, Greer and Garcia",read,Não,Port Jessica,AZ,491,central,B01,5,4,770,out,26512,6477,A,Sim,481-72-8266,984341,Kelly Black
C,3373,Mckinney Group,62153,Linda Riley,popular,M,1960-08-12,together,30842.74906454229,2021-08-15,March 1984,36991960,Mcbride-Peterson,general,Não,West Patricia,DE,172,nearly,A00,5,2,741,see,13253,1996,C,Não,300-75-8613,717063,Matthew Munoz
B,2349,"Williams, Clark and Burke",73324,Edward Juarez,democratic,M,1999-05-05,threat,32979.64487629553,2005-08-08,December 2021,50421832,Harris Group,cultural,Sim,Alexmouth,MH,595,industry,A00,3,3,928,program,79619,2334,B,Sim,093-40-8234,463295,Andrew Myers
C,2835,"Castillo, Jones and Willis",28915,Amy Hess,crime,F,1958-01-25,worry,2904.67905347633,2023-05-11,November 2015,61757667,"Kelly, Garza and Walters",open,Sim,Lorettaside,NH,713,set,D03,4,7,148,light,37431,3299,A,Sim,780-51-1160,668699,Brian Webb
B,1657,Chapman Inc,85127,Joseph Williams,six,M,1972-09-17,various,89692.50236317838,2005-11-10,April 2010,22291930,"Coleman, Merritt and Hall",manage,Não,Leeborough,PA,527,care,A00,3,3,270,what,65473,8361,C,Sim,623-50-3445,898807,Ashley Wells
B,7885,"Flynn, Contreras and Simon",41944,Jonathan Washington,actually,M,2001-06-06,training,58167.632379248345,2012-08-04,December 2005,18017216,"Robinson, Chambers and Watts",number,Sim,Robertburgh,ND,374,indeed,D03,3,3,919,relate,59903,7593,C,Sim,880-80-1858,189583,Samantha Barnett
B,5062,Rodriguez-Adams,37385,Nancy Garcia,west,F,1969-11-24,factor,798.4256369571867,2006-11-26,December 2003,22557198,"Burns, Smith and Cruz",claim,Sim,Port Rachel,NM,688,somebody,D03,4,6,301,fish,77862,1356,B,Sim,135-89-4388,685031,Mark Hernandez
B,9285,Johnson-Murphy,35179,Rachel Hogan,read,F,1975-03-17,region,43152.39144342451,2015-06-24,July 2017,22068148,Molina-White,feel,Não,East Jeremy,HI,968,listen,A00,2,8,515,section,77317,9853,C,Não,004-64-0536,942741,Brian Sanders
C,5113,Wallace LLC,13810,Aaron Parker,attention,M,1987-01-07,son,67624.27289253226,2000-08-10,February 2018,25057069,Barrett-Stevens,beat,Sim,Jamiefurt,SD,977,smile,D03,5,4,292,say,52718,3552,A,Não,100-39-7617,224067,Tracey Steele
C,1039,"Moore, Lopez and Banks",67430,Pamela Arnold,news,M,1987-04-10,grow,6499.127491971482,2012-09-26,April 2006,53032051,Morris-Perry,anything,Não,Lake Michellefort,SD,177,few,A00,5,6,318,bad,61541,3088,B,Sim,560-21-2351,531269,Lisa Gonzalez
C,1911,Frederick Ltd,48853,Melissa Smith,produce,F,2000-05-15,state,39556.13311237256,2000-06-17,November 2020,80191932,Steele Ltd,maybe,Não,East Danielstad,SD,409,thus,C02,3,1,848,run,76843,1408,B,Não,567-31-7438,895352,Kristen Leon
D,7054,Golden-Shaw,27536,Ronald Acevedo,black,F,1983-09-07,pattern,22566.82460415224,2007-06-24,December 1976,26878028,Gentry-Jones,involve,Não,East Danielle,MA,125,what,C02,3,6,153,fall,74884,2112,B,Sim,178-18-2336,960970,Derek Howard
A,1392,"Lynn, Burgess and Houston",50892,Wendy Graham,right,M,1996-06-14,walk,86178.86028818485,2018-07-13,December 1985,25350291,Golden-Sandoval,suffer,Sim,Robertbury,GA,364,require,A00,5,2,689,history,59125,1085,C,Sim,704-13-6014,175261,April Sanders
B,7484,Snyder Ltd,27638,Taylor Romero,assume,M,1994-08-13,paper,9773.416665550834,2012-12-02,July 1972,79189768,Stone Group,present,Sim,North Alyssaburgh,GU,325,give,B01,4,2,561,card,81893,4169,A,Não,656-16-4163,187640,Oscar Smith
C,1363,Wilson Group,69095,William Mendoza,those,M,1962-05-09,usually,28960.74750995259,2009-08-06,February 1986,68534546,Holder PLC,compare,Não,West Kennethfort,OR,168,or,B01,1,8,294,event,27332,3174,B,Não,123-14-8176,266563,Bryan Cervantes
A,6299,Ross-Carroll,77744,Richard Johnson,hundred,F,1984-04-18,describe,91389.28360381738,2002-05-10,April 1980,36352917,Bailey Group,family,Não,Sandraland,IN,316,eat,C02,2,6,403,investment,81422,1835,B,Não,575-14-4470,343243,David Adams
A,1388,Bell PLC,99686,Christine Bell,sense,F,1979-05-10,soon,95329.3465008751,2003-03-28,January 1992,31891007,Allison Inc,lead,Sim,Ryanchester,ND,289,threat,B01,5,7,899,range,57376,7338,B,Sim,464-58-8373,906735,Michael Griffin
B,4116,Parks-Doyle,94481,Jackie Lopez,picture,M,1983-03-08,color,23000.13069144265,2005-04-11,July 2015,70413331,Hill PLC,court,Sim,North Jamesfurt,ID,734,either,C02,4,3,585,continue,42394,1617,C,Não,181-63-5045,242226,Claudia Barrett
D,3006,Rodriguez PLC,36433,John Davis,minute,F,1997-10-12,side,66901.00662807332,2014-11-08,February 2023,80738794,Andrews Ltd,total,Não,East Josephmouth,OK,683,myself,C02,1,1,258,could,16148,5570,A,Não,152-49-4325,819357,Mark Fischer
D,2914,"Edwards, Lopez and Weber",85484,James Jackson,without,M,1960-03-24,eye,50793.15169718035,2012-07-10,August 2005,75392804,Morales Inc,include,Não,Floresville,MA,322,high,D03,5,4,107,treat,33471,6021,A,Sim,704-57-1244,847463,Marcus Huff
C,4194,Aguilar-Myers,69808,Brett Wood,investment,F,1987-07-20,care,23548.29691526533,2000-09-17,March 2007,22364729,"Wright, Richmond and Williams",enter,Sim,Lanemouth,RI,819,simple,A00,3,1,727,writer,66957,4725,A,Sim,455-39-7681,948570,Anna Graham
B,3645,"Edwards, Salazar and Bailey",75162,Bradley Williams,note,M,1982-04-17,final,85235.26208720179,2012-09-25,August 1977,69993972,Foster PLC,bag,Sim,North Chelsea,MH,275,past,C02,1,4,658,five,89186,1832,A,Sim,490-09-8357,189210,Michelle Ball
B,9482,Deleon Group,51472,Sheila Jennings,memory,F,1952-08-23,special,22830.051160603944,2022-11-12,March 1988,57569204,Sims PLC,space,Sim,South Jeffrey,VT,569,my,A00,3,7,668,play,21683,8965,C,Sim,217-17-8139,413262,Diana Walker
D,1819,"Moore, Phillips and Miller",53059,Daniel Marsh,task,F,1949-12-20,wish,54547.29243559242,2004-07-14,July 1975,35228815,"Clark, Tran and Hernandez",red,Não,East Patriciaberg,CA,266,turn,B01,5,9,171,reason,45537,5346,B,Sim,882-65-3107,300468,Valerie Tran
C,5859,Wheeler-Gordon,11824,Belinda Sampson,manage,F,1975-02-18,option,90054.17591080558,2020-01-18,September 2014,88898117,"Gates, Phillips and Gregory",investment,Sim,Montoyaville,MT,384,pretty,A00,5,1,278,choice,52192,6677,C,Não,555-61-8704,849065,Antonio Turner
B,5926,"Rosario, Bird and Stevenson",43552,Dr. Jerry Frey,situation,M,1972-09-24,region,25927.525134653002,2008-10-28,February 2022,56143884,"Bradley, Klein and Hall",this,Não,North Rickyhaven,ND,187,certain,B01,2,7,804,feeling,89703,4825,C,Sim,150-39-8303,108732,Sarah Parsons
B,4647,"Harris, Velasquez and Snyder",29520,Kevin Baker,big,M,1982-08-28,when,22031.72726752935,2005-01-01,February 2010,62456332,Bailey PLC,democratic,Não,North Brendafort,MS,781,this,C02,2,2,891,catch,11723,9236,C,Sim,493-24-2352,972178,Elizabeth Jensen
A,2005,Miller-Huff,40107,Bonnie Taylor,student,M,1964-05-13,make,91663.33114966209,2001-01-13,December 1979,88919828,"Jones, Mcdaniel and Weeks",loss,Sim,Martinchester,KS,355,data,D03,2,5,427,young,65025,6793,B,Não,214-63-1001,474771,Katherine Stevens
B,6871,Hurley-Flores,73841,Adam Johnson,child,M,1948-11-18,project,58594.32901926389,2019-06-30,June 1997,19404925,Frazier-Davis,forget,Sim,New Alexisbury,AL,846,seek,D03,3,8,373,effort,87950,4946,C,Não,337-49-2083,855549,Allen Hall
A,7741,"Evans, Vega and Gates",36843,Teresa Murillo,week,M,1959-08-06,quite,76107.3903239037,2019-05-13,August 1970,93260318,Ayers-Khan,billion,Sim,New Richard,OK,103,institution,D03,2,4,495,respond,94600,8914,A,Não,752-98-9545,838274,Tiffany Cain
C,2031,Cruz-Mejia,95145,Christopher Fletcher,small,F,2003-12-30,clearly,55296.29101580261,2010-11-05,October 1995,87896673,Gomez-Reyes,within,Não,West Reneehaven,FM,284,mother,B01,3,3,779,radio,99897,2392,C,Sim,556-35-1273,220255,Clifford Hernandez
C,4829,Willis-Garrett,14260,Joshua Harrington,include,F,1958-07-19,gas,22305.619580520295,2021-09-16,August 2011,61698190,Hayes Inc,voice,Sim,Smithville,AR,221,indicate,B01,3,8,281,near,68312,2678,C,Não,382-62-9853,665346,Sierra Howell
A,8893,Lee and Sons,64372,Melinda Rios,hope,F,2005-05-29,third,27885.358862032892,2013-04-20,December 1990,25675781,"Lane, Brennan and Love",policy,Sim,Leeville,CA,341,energy,B01,2,3,236,fall,11318,3410,B,Sim,281-77-6819,304482,Gabrielle Strickland
C,1737,"Lopez, Estrada and Rodriguez",27092,Dana Stark,worry,F,2002-10-12,school,97990.85573218063,2010-04-16,April 2011,90665750,Lindsey-Bailey,establish,Sim,Lake Jasonshire,WA,651,agreement,C02,3,8,465,three,62789,9236,C,Sim,770-60-0888,866462,Jessica Davis DVM
A,7858,Powell Group,99157,Ethan Baker,worker,M,1980-10-17,grow,96843.2796518493,2004-01-10,April 2022,38045954,Clark-Gonzales,choice,Não,Matthewstad,NE,565,trouble,B01,2,9,223,safe,90358,6640,A,Sim,077-13-4520,702211,Michael Collins
C,5315,Garza Ltd,32478,Maria Ward,audience,M,1962-03-15,project,74786.32680034691,2013-10-21,January 1976,52523751,Meza Ltd,seem,Não,Lake Chloeside,MN,436,actually,D03,2,7,129,window,70867,3455,B,Sim,149-50-5790,698871,Betty Pearson
C,4367,Simpson PLC,36940,Paul Curtis,eye,F,1977-05-24,concern,12425.970733259719,2008-09-14,May 2010,56611688,Walsh-Wilson,white,Não,Lake Adamborough,GA,515,think,A00,5,3,100,produce,98210,4300,A,Não,878-97-1759,674417,Christina Cook
D,3775,"Harrison, Montoya and Brown",97638,Kyle Green,red,M,1964-11-23,challenge,16274.3372950787,2018-06-14,November 1996,42545817,Gibbs-Wallace,argue,Não,West Christopher,AZ,992,difference,C02,1,2,186,important,13380,9402,C,Sim,824-79-3378,323246,Andrea Bonilla
B,5536,Hill-Bennett,70083,Karen Duncan,wall,M,1973-07-12,best,16312.86611405173,2015-03-26,December 2013,53478879,"Perez, Newton and Lewis",institution,Não,Shirleyville,MH,701,decision,C02,3,10,683,involve,95915,3215,C,Não,007-10-5994,322212,Sarah Odom
A,2378,Lopez Inc,20215,April Luna,almost,F,1969-01-07,way,74798.12793569622,2017-01-05,October 1972,38790152,Edwards LLC,finish,Sim,Lake Aprilview,VA,787,figure,A00,1,4,251,hear,91490,9304,B,Não,373-89-1583,782142,Samantha Mcguire
D,5106,Dodson Group,17499,Susan Massey,within,F,1951-10-03,fight,29591.25262256732,2023-07-11,July 1973,12129847,Collins LLC,ask,Sim,South Madison,MT,421,Republican,D03,4,10,518,special,38019,7749,B,Não,606-99-7137,118557,David Lewis
D,2101,Smith-Maldonado,38113,Frank Parrish,price,F,1962-09-02,other,77069.51347700202,2016-04-27,July 2019,62492954,"Mann, Archer and Webb",finally,Sim,West Joshuaside,PW,379,meeting,C02,2,5,612,us,39925,7677,A,Não,122-30-6113,348975,Paul Berry
B,7258,Graham-Morgan,96994,David Neal,they,F,1966-07-01,will,63670.297218615764,2001-09-09,November 2001,85803302,Lopez Inc,yourself,Sim,West Timothy,IN,666,black,B01,3,6,253,loss,92823,7454,B,Não,030-66-1446,844995,Lacey Rivera
D,9141,Vargas Inc,44492,Brenda Good,amount,M,1983-05-16,help,21097.448831033234,2000-07-19,April 1975,92571909,Harris-Williams,free,Não,West Meganfort,MT,785,wait,B01,3,3,986,use,84097,2797,A,Sim,557-60-3550,565429,Kim Wood
C,5834,Robinson Inc,90899,Dawn Walls,perform,M,1971-02-14,trip,32071.99634413453,2010-10-25,July 1973,64041555,Davidson LLC,them,Não,Lloydmouth,UT,601,point,B01,4,6,176,science,49348,6018,B,Sim,507-21-7817,749184,Thomas Castro
C,9783,Perez and Sons,10400,Elaine Hicks,real,F,1974-11-12,treatment,21829.6232875471,2020-11-09,April 1997,55051292,"Cox, Rosales and Larson",system,Sim,South Mark,PW,946,record,D03,3,2,864,game,68617,8456,C,Sim,843-90-4100,213485,Carol Maynard
A,4723,Heath Inc,52368,Jacob Gomez,social,M,1980-03-27,dream,10605.542720764946,2018-07-16,January 1988,83305116,"Rich, Thomas and Cantrell",truth,Não,Lake Davidstad,OR,827,father,B01,5,9,978,beautiful,84593,9370,A,Sim,006-94-4296,842593,John Farrell
B,4750,Norris Group,70736,Andrew Allen,money,F,1971-08-09,term,11547.93468840676,2008-05-13,May 1988,41873363,Jones Inc,analysis,Sim,Millerburgh,PA,380,everyone,A00,3,5,140,home,26020,5537,C,Sim,549-78-1452,573961,Crystal Jacobs
B,2046,Jones and Sons,86629,Kristy Johnson,or,F,1965-09-29,knowledge,67574.5187967902,2010-05-26,July 1997,67002738,Flowers-Green,despite,Sim,Nicolechester,MS,440,growth,C02,3,2,569,later,77578,1945,C,Não,274-09-1056,314218,Herbert Tran
D,4353,Hernandez-Lane,67530,Jordan Olson,pull,M,1950-10-26,appear,96939.60865893985,2010-09-06,October 1983,62954593,Anderson LLC,whole,Não,Barbarafurt,ND,341,score,C02,4,9,963,again,65539,4957,C,Sim,021-48-7981,789311,Jennifer Neal
A,2701,Matthews Ltd,26700,Rachel Eaton,north,M,1970-11-20,federal,39268.5711432444,2002-08-20,October 1998,90072581,Robinson-Dudley,boy,Sim,Smithfort,CO,260,mean,D03,2,8,113,give,88647,2228,C,Não,271-84-3370,573704,Tyler Snow
B,6875,Franklin Inc,90633,Mrs. Teresa Short,standard,M,1981-02-04,receive,83838.48047174832,2018-12-06,July 2010,30552526,"Taylor, Payne and Barton",accept,Sim,Donaldchester,MO,267,bad,D03,4,2,194,number,48190,1293,A,Não,191-50-1396,466620,Erin Landry
B,1944,"Clay, Gonzalez and Gibson",64710,Joanna Bridges,pull,M,1975-03-21,establish,67593.7522390129,2015-02-19,May 2004,42759846,Barnes Ltd,operation,Não,North Felicia,AK,565,sometimes,C02,3,9,959,miss,24689,4566,B,Não,177-47-6943,151973,Charles Huffman
B,5506,Everett Inc,87032,Sylvia Khan,international,F,1990-12-27,fund,37678.761251729804,2002-09-10,September 1976,48145127,Barton Inc,skin,Sim,Timothyfurt,NM,735,amount,A00,1,5,368,down,38549,5331,A,Sim,130-20-3414,997744,Donna Willis
C,6579,"James, Mccoy and Harris",89253,Julian Swanson,imagine,F,1967-03-11,head,36644.144561561254,2017-10-30,April 1980,53623644,Tran-Matthews,travel,Sim,New James,OH,475,financial,D03,1,10,466,practice,30212,9190,A,Sim,127-47-9004,647156,Daniel Lawrence
D,4421,Wilson LLC,95928,Chad Oliver,record,F,2004-06-05,military,68243.16243011021,2000-04-05,March 1975,24131667,Escobar and Sons,different,Sim,Tuckerbury,AK,363,item,A00,5,6,496,window,28892,7823,C,Não,055-58-4201,541583,Thomas Smith
C,1211,Adkins Ltd,45897,Hannah Davis,strategy,F,1995-02-02,especially,50927.395581051765,2010-01-19,August 1994,43196460,Garrett Inc,sister,Não,Williamton,KS,469,worry,B01,1,4,383,your,80052,4654,B,Sim,232-11-4628,436950,Patty Reed
A,8178,"Cameron, Norris and Harris",92035,Joseph Torres,fire,M,1947-10-19,year,16272.503495506215,2004-05-14,March 2019,49332065,Dillon-Jimenez,ago,Não,West Justinborough,NE,553,note,A00,5,3,354,still,26979,2161,A,Sim,394-62-9673,464105,Roger Boyd MD
A,8473,Riley-Cox,80851,John Hendricks,red,M,1977-11-26,defense,94914.91134108232,2003-09-16,July 2005,31171288,Anderson-Arnold,since,Sim,West Angela,TN,578,say,C02,2,1,483,yard,73267,7546,A,Sim,837-28-1334,997398,Michael Mcconnell
D,4628,"Willis, Ryan and Jones",21340,Amanda Garner,behavior,F,1955-06-10,PM,3589.395583783284,2019-03-07,August 1980,44660624,"Campbell, Anderson and Fleming",work,Não,Ericton,PR,609,type,D03,1,8,184,dog,46620,4413,C,Sim,581-56-5873,663322,Joan Robertson
B,9641,Watkins LLC,22106,David Lucas,to,F,1984-08-08,drug,15586.85786055283,2001-08-25,June 2017,32273711,"Sawyer, Malone and Burke",receive,Sim,East Benjamin,MN,530,life,A00,3,9,157,chair,99020,5431,B,Sim,029-22-2351,953883,Julie Parker
C,5219,Porter-Cohen,78373,Sara Kelly,child,M,1985-08-09,tax,9453.37089186559,2001-01-06,July 2011,19661089,"Matthews, Smith and Rodriguez",send,Sim,Vaughanland,PW,667,herself,D03,2,10,408,building,97051,1665,C,Não,330-28-1712,241520,Michelle Bell
C,3446,Nunez LLC,70223,Alexander Ward,room,M,1961-11-11,us,84505.90839155184,2012-10-27,December 1994,36610148,Jackson-Kim,fish,Não,Barrettland,WY,844,federal,C02,1,1,111,cover,25687,7841,C,Sim,265-74-5689,762412,Gerald Davis
C,9354,Hill-Dominguez,12815,Kevin Hansen,whether,F,1990-02-21,open,35115.59741548328,2018-10-14,July 2005,59940931,Larson-Whitney,practice,Não,Gillhaven,RI,125,region,B01,4,1,891,others,74411,1735,C,Sim,326-34-7063,730761,Lee Collins
B,5885,"Hopkins, Maldonado and Larsen",25172,Michelle Wallace,section,M,1963-02-02,cultural,97561.6799248862,2017-07-18,July 1980,82527425,Jackson Group,husband,Não,Bakerside,MT,999,night,B01,3,10,538,me,68632,4789,B,Sim,308-37-5440,786988,Jeffrey Perkins
D,5055,Walker-Gonzalez,77433,Nicholas Stephenson,measure,F,2005-05-23,mean,68208.7620543536,2007-12-26,January 2001,44309304,Garcia and Sons,commercial,Sim,Travismouth,MD,475,any,B01,5,4,523,might,77404,7013,A,Sim,296-38-8777,526210,Jeffrey Kline
B,5034,"Cook, Johnson and Allen",76038,Ashley George,kind,F,2001-04-03,amount,11941.992742670593,2001-01-07,July 1973,94408192,Golden Inc,ready,Não,Tylerside,WA,821,man,C02,4,8,910,early,14999,2727,B,Sim,224-21-4738,490611,Stacy Lopez
A,6611,Jones PLC,13202,Debra Armstrong,according,F,1990-04-19,character,58301.655222460744,2017-08-21,April 1977,61060831,Smith-Robinson,defense,Não,Christopherborough,IL,814,summer,B01,2,6,811,right,61364,5168,B,Sim,295-89-7644,782542,Frank Lyons
A,3692,Steele-Deleon,24167,Juan Evans,could,F,1957-09-24,reach,54564.66247308855,2017-06-04,March 2017,51706752,"Clark, Martinez and Williams",very,Sim,Lake Todd,MA,175,city,C02,5,4,931,do,75612,2401,B,Não,113-43-0364,757623,Peter Lopez
C,6264,"Sanchez, Ewing and King",45551,Michael Harding MD,role,M,1971-05-11,many,69562.43959709717,2006-05-30,August 2005,16590616,Elliott and Sons,wait,Não,Nunezberg,KY,927,training,D03,3,5,370,agree,97914,1808,C,Não,641-09-2634,543876,Madison Smith
B,2444,Peterson Ltd,14226,Michael Evans,first,M,1989-09-10,dark,96437.16462331031,2011-07-23,May 2003,31949881,Stone PLC,agent,Sim,Jamesborough,MP,327,assume,C02,5,3,962,see,81788,5289,B,Sim,341-25-7612,573492,Kevin Morrison
A,9215,Gallagher-Mckinney,49015,Julia Morgan,inside,F,1966-11-18,ok,59963.80061763505,2022-08-14,November 2005,87734840,Norton PLC,reason,Sim,Sandovalchester,PR,522,leader,C02,1,3,559,board,57440,4599,B,Sim,042-01-6296,729084,John Rodriguez
B,1043,Bowman-Madden,67565,Deanna Myers,fight,M,1980-07-12,score,15944.569442240136,2003-09-19,June 2010,40326514,Jones-Garrett,top,Não,Nancyfurt,AL,459,practice,C02,2,1,393,role,98189,3312,A,Sim,193-74-0746,364777,Crystal Woods
C,5229,Sanders LLC,64568,Matthew Rodriguez,particular,M,2005-09-16,them,65399.87578899786,2015-03-26,January 2014,55676702,"Ray, Dennis and Gardner",network,Não,New Brandiborough,MT,241,claim,D03,5,4,729,north,33671,3812,A,Não,442-03-9305,887800,Danny Sims
D,4827,"Johnson, Gibson and Davis",60161,Bradley Thomas,thing,F,1972-08-26,recently,15116.090500714625,2020-06-28,April 2015,89264908,Wood Inc,boy,Não,West Dwaynemouth,FL,612,member,C02,4,8,996,food,28950,1037,B,Não,620-78-0571,876894,Lynn Shaw
B,2104,"Hill, Lee and Mccormick",30851,Sabrina Walker,unit,F,1958-09-28,method,68250.05763688088,2022-09-08,October 2011,11659918,Sandoval-Chambers,actually,Sim,Millerton,NC,701,physical,A00,5,9,427,news,76882,4506,B,Sim,063-22-6966,830909,Christine Wright
D,1743,Graves and Sons,14343,Michael Rodriguez,brother,M,1989-09-18,employee,24578.86595360989,2021-08-25,April 2023,23712504,Proctor PLC,every,Sim,Ronaldmouth,NM,374,arrive,A00,4,7,962,rule,31943,3520,A,Não,638-72-9649,662295,Robert White
D,2162,"Garcia, Golden and Johnson",53888,Andrea Bates,yard,F,1955-08-14,rock,58716.44979582935,2011-03-12,February 1981,55710498,"Flores, Levine and Miller",president,Sim,Port Michaelhaven,ME,268,affect,D03,1,1,356,PM,57508,4276,A,Sim,272-62-6897,239165,Rebecca Kelley
C,1391,Wong Group,75939,Steven Garcia,son,M,1977-05-06,activity,73566.16752539536,2004-06-09,August 1988,82345947,Miller-Thompson,front,Não,North Tina,WY,725,especially,A00,4,4,158,actually,81777,6711,B,Sim,582-50-1016,596729,Bruce Allison
C,4100,Davis-Joseph,35568,Alicia Jones,general,F,1952-12-10,occur,36787.81920199577,2001-02-14,December 1975,58957563,Barker Inc,physical,Não,Elizabethmouth,MS,126,likely,A00,2,1,146,strategy,66617,1079,C,Sim,436-92-1493,615156,Veronica Hodge
B,6443,Hooper-Young,33746,Elijah Morgan,together,M,1997-11-05,perform,65830.13616248984,2020-12-07,December 2021,72493526,Smith LLC,soon,Sim,Quinnchester,NY,547,television,A00,5,4,451,remember,82285,6726,C,Não,473-91-8210,901840,Steven Burke
B,9464,"Esparza, Mckay and Lowe",66622,Douglas Carter,capital,F,2003-09-04,whether,57362.647253324096,2009-01-12,September 2013,36257209,"White, Erickson and Sampson",ready,Sim,Jerrybury,SD,817,machine,C02,1,5,464,play,80685,3339,B,Sim,453-64-4727,481719,Levi Rowe
D,9518,Thomas-Henry,69502,Jenna Cross,message,F,1955-12-18,heavy,97200.76440225079,2005-07-20,October 1979,52407048,Odom PLC,us,Sim,West Brittneyside,ID,454,shake,A00,5,5,321,professional,84112,3612,A,Não,496-37-8347,328243,Christopher Jones
A,4558,"Avila, Collins and Stewart",62170,Peter Harris,help,M,1953-08-19,charge,69147.06320418089,2016-01-21,January 1981,37375380,James-Flores,peace,Sim,Ericbury,WY,692,when,C02,3,3,956,risk,15946,9566,C,Não,467-70-8071,471795,Joel Smith
A,1851,Gonzalez PLC,75217,Steven Hansen,on,M,2005-05-05,share,63604.01125181523,2010-04-26,August 1988,29103906,Hogan Inc,staff,Sim,East David,PR,720,interest,C02,1,8,835,several,32566,8448,A,Sim,570-02-9375,242670,Beth Parrish
D,4357,"Gonzalez, Hawkins and Bowen",28893,Shannon Schultz,training,F,1958-07-21,pick,17826.190975080364,2002-03-04,July 2002,47266524,"Johnson, Lloyd and Parks",baby,Sim,Monicaport,FL,677,before,A00,1,7,184,later,42133,1713,A,Não,146-58-0857,820288,Tara Jacobs
D,9284,Roberson Group,39545,Anthony Young,listen,F,1992-08-06,star,93508.1192231223,2017-10-16,April 1971,74063329,Johnson-Washington,return,Sim,Christopherchester,PR,504,impact,D03,1,3,972,dream,31968,5879,C,Não,369-89-3267,567858,Margaret Klein
B,9987,"Martin, Keller and Hernandez",21832,Andrew Smith,thought,M,1983-06-18,else,63105.38836911975,2011-01-26,May 1984,18529979,"Jackson, Hall and Warner",raise,Sim,Martinfort,MH,201,in,A00,3,6,387,glass,32432,7768,B,Não,677-03-4851,796275,Ashley Wright MD
B,1167,Pacheco-Thomas,75366,Denise Rodriguez,whole,F,1967-01-20,build,34571.673960253596,2007-11-04,August 2002,66385173,Patterson and Sons,never,Não,North Daniel,VA,655,participant,D03,1,5,178,lot,70926,2235,C,Não,809-50-8384,268468,William Hernandez
C,7373,Clark Group,72302,Monica Robinson,allow,M,1953-06-09,local,84960.5041127622,2006-08-07,November 2014,72911524,"Rice, Newton and Serrano",act,Não,Ramoschester,ME,157,modern,B01,3,6,170,media,67650,1893,B,Não,492-14-4135,871213,Rhonda Estes
B,4098,Rivera PLC,59307,Kara Moss,enough,F,1967-12-30,sell,81395.6412780956,2017-01-26,September 1987,36499568,Moody Group,instead,Sim,West Davidtown,VA,240,into,D03,1,2,187,perhaps,69957,8269,B,Não,345-49-1221,152515,Joel Hunt
B,7452,"Smith, Davis and Clark",30514,Timothy Carlson,adult,F,1977-12-14,fast,42369.02204135351,2000-11-20,October 1976,40733763,Mills LLC,coach,Não,Thompsonstad,NH,388,soldier,B01,4,1,778,reach,86951,4472,A,Não,112-18-0760,499966,Summer Bailey
C,5832,Mathews and Sons,80977,Mrs. Ashley Owen,son,F,1953-01-27,member,83191.39402680953,2009-03-19,May 2020,71094886,Krause and Sons,age,Não,Longberg,TX,796,five,D03,4,10,610,impact,51575,1675,A,Sim,378-82-1390,722956,Vanessa Yang
B,1267,"Barnes, Johnson and Wheeler",62532,Daniel Robinson,among,F,1948-03-06,particularly,85433.32062444823,2009-10-01,December 1983,11932183,Williams-Anderson,box,Sim,Christopherchester,NY,543,range,B01,4,6,408,group,49188,7741,B,Sim,532-57-7458,207840,Kimberly Day
C,3218,Wilson-Morris,22174,Mark Cooper,general,F,1997-12-20,issue,18283.82947514948,2010-04-05,October 1994,99853676,Rodriguez and Sons,indicate,Sim,New Sharonfurt,PW,310,continue,C02,4,4,788,there,41398,1587,B,Não,532-92-3770,661670,Adriana West MD
C,9112,"Smith, Rodriguez and Reed",24535,Mark Boone,financial,F,1960-09-03,let,28159.73242569875,2008-03-08,August 2002,99835254,Schroeder PLC,service,Sim,South Thomasport,PW,518,culture,B01,4,5,325,ago,63615,3554,B,Não,357-49-6096,271076,Krista Yang
B,9953,Marquez-Bryant,21418,Lindsey Craig,true,M,1982-09-07,minute,70020.33129296702,2008-07-15,February 2017,33316046,Clay-Hardy,maybe,Sim,Jeffreyview,AL,713,order,C02,1,3,137,than,71021,1615,A,Sim,867-05-9723,563391,Amanda Smith
C,9475,"Williams, Martin and Lee",11409,Justin Williams,someone,F,1986-01-29,view,76138.2233542146,2021-10-07,February 2002,51308348,"Livingston, Freeman and Patterson",since,Sim,South Adriana,MH,655,analysis,A00,5,3,149,people,15633,6278,A,Sim,256-26-4739,817268,Rebekah Johnson MD
