NOME FUNCIONARIO,CPF,DATA,UNIDADE ATENDIMENTO,NOME PRESCRITOR,CRM,UF CR,TIPO CR,TEMPO,TIPO TEMPO,HORAENTRADA,HORASAIDA,CID,ACEITO,OBSEVAÇAO,ORIGEM,RECEPCAO,ESPECIALIDADE
Erica Erickson,623-60-1388,1970-02-02,Larson and Sons,Jay Valencia,61014,DC,C,2,Anos,14:44:47,21:22:36,A00,Não,"Travel thought test industry. Occur usually control.
Spend see to maybe computer. Huge firm very check coach general traditional.",Pronto-Socorro,Recepção B,Cardiologia
Dalton Smith,297-68-3100,1909-11-24,Walker-Cunningham,Mr. Steven Summers,11644,VA,C,2,Meses,18:34:37,08:39:10,B01,Sim,"Friend debate I. Mission later bag throughout visit.
Blood suddenly environment would maybe democratic. Language life thought want. Cost role occur score particularly.",Pronto-Socorro,Recepção C,Pediatria
Luis Gonzales,452-94-3887,2004-05-18,Bender-Golden,Timothy Perkins,91427,FM,A,25,Meses,04:38:14,03:04:44,A00,Não,"Police once head action argue sister writer.
Her way skin task condition crime. Appear customer member against wrong.
Project southern traditional. Difficult several research local indeed each.",Pronto-Socorro,Recepção A,Pediatria
Anthony Hunt,418-60-1528,1986-10-05,"Farmer, Taylor and Soto",Michael Jones,28022,GA,B,26,Anos,18:35:56,19:03:17,B01,Sim,"American skill during score shake myself talk. Father half money.
Capital him build explain. Cost issue best work yourself. Significant position name so himself.",Pronto-Socorro,Recepção A,Pediatria
Sandra Williams,134-18-0668,2001-12-08,Allen Group,Carlos Carpenter,44726,GA,A,26,Dias,19:55:37,11:53:50,A00,Sim,"Name several task. Worker hundred movement quickly interest inside send. Real design leave computer wait kid.
Question write summer power money. Level ground station accept girl step something.",Clínica,Recepção A,Cardiologia
Tony Edwards,861-82-2739,1948-05-03,Allen PLC,Donna Davis,38954,OH,A,7,Dias,02:16:05,05:48:14,B01,Sim,"Add break federal yourself. Five almost good PM feeling.
Industry develop development heavy name meet east. Term ahead so recognize.",Clínica,Recepção C,Cardiologia
Jacqueline Fox,822-47-9245,1954-08-07,"Beck, Wallace and Caldwell",Anthony Garcia,16062,CA,A,5,Anos,18:06:24,18:58:45,B01,Sim,"Different stop real. Role value body remain fill.
Age event consumer foot attorney field. Although western west sport after in. Dream within production direction.",Hospital,Recepção A,Ortopedia
Morgan Stewart,359-23-9952,2007-02-01,Miller and Sons,Heather Beard,76910,WY,A,1,Meses,19:24:24,06:47:44,C02,Não,"Night society cell second ground exactly.
Once it mean clearly believe option wish. Because make fill. Ok history star area represent good.",Clínica,Recepção B,Ortopedia
Billy King,312-85-0306,1955-10-02,Kim-Moreno,Gregory Roman,44304,MN,A,4,Dias,17:24:43,10:52:29,B01,Sim,"Gas wonder wear. Their road pressure arm likely car mention.
Few education Democrat mouth.",Hospital,Recepção A,Cardiologia
Evan Gonzales,792-54-4261,1937-02-26,Russell-Booth,Virginia Poole,72884,WV,C,13,Anos,07:50:28,09:40:38,A00,Sim,Ability rather above hit include yourself. We thank find similar Congress. Wall human skill fear.,Pronto-Socorro,Recepção A,Pediatria
Mark Williams,417-62-7718,2015-11-27,Garcia Ltd,Jose Daniels,11076,NE,A,10,Anos,14:24:22,10:40:46,B01,Não,Score fill interest add yeah. Here trouble two affect western. Program company per five visit thing particularly.,Pronto-Socorro,Recepção B,Ortopedia
Stacey Myers,002-67-7995,1936-05-01,Stone-Hancock,Michael Lucas,60126,VI,A,27,Anos,02:37:59,23:14:45,C02,Sim,View glass dog so. Design new think trouble. Modern subject authority product somebody do everybody.,Pronto-Socorro,Recepção A,Pediatria
Oscar Ford,543-95-0484,1966-10-10,"Weiss, Walter and George",Haley Campbell,25889,PR,B,1,Dias,09:58:07,06:21:46,B01,Sim,"Beat with middle suddenly doctor among direction. Why red ahead artist option population.
Mission whose force sense new. Large option more majority machine.",Pronto-Socorro,Recepção C,Cardiologia
Philip Fisher,559-08-3435,1971-03-05,Warren LLC,Joseph Hernandez,84869,TN,C,1,Meses,16:16:58,09:50:01,B01,Não,"Often study factor music before born. Method voice agent learn.
Control activity behavior agency understand most modern. Any easy thus grow message.",Clínica,Recepção C,Cardiologia
Diana Cummings,297-11-2104,1998-08-16,"Shaffer, Sullivan and Oliver",Samuel Anderson,81651,LA,C,27,Meses,13:05:27,17:45:33,C02,Sim,Game expect enter form. Prevent result benefit enter. Allow party study entire far debate.,Clínica,Recepção B,Pediatria
Marc Davidson,807-32-7302,1913-07-21,Castillo-Fernandez,Billy Hall,58549,AS,C,9,Anos,08:19:29,15:51:04,B01,Não,"Impact account account. Today land program may present skin over field.
Middle fly I process measure effort. Until assume along find social economy.",Pronto-Socorro,Recepção C,Pediatria
Ryan Bishop,224-01-7479,1940-11-23,Brown Group,Lisa Stephens,10173,WI,C,8,Dias,11:06:57,02:04:20,A00,Não,"Improve you force even least. Fund spring subject west their employee.
Writer realize TV compare class quite. Camera well never media tend.",Clínica,Recepção A,Cardiologia
James Huff,071-61-2114,1964-08-08,"Luna, Shaw and Bradley",Alison Scott,91151,DE,C,3,Meses,21:55:15,11:31:38,B01,Sim,Suggest travel available during. Choose role method save she loss population window. Science yes bring air bed probably staff.,Hospital,Recepção A,Cardiologia
Angela Lewis,397-41-2497,2023-09-20,Woods and Sons,Jessica Hodge,56360,MN,C,12,Meses,04:23:43,20:19:42,A00,Não,Guess whether dog. Reason parent carry per mean peace purpose. Write different take group term order democratic.,Clínica,Recepção C,Pediatria
Penny Thomas,777-74-1785,1943-12-04,Eaton-Moore,Jesse Crosby,38939,OR,C,30,Dias,03:26:19,17:28:04,A00,Não,"Major may southern third anything. Public size money book sure. Serve soon high run.
Write walk old per turn. As tend face wide nation produce reflect.",Pronto-Socorro,Recepção B,Pediatria
Kristina Salazar,347-90-5275,1988-04-28,Palmer Inc,Fred Meyer,44474,AS,C,28,Meses,04:56:17,04:26:29,B01,Não,"If forget involve strong concern. Dog turn letter buy crime food well. Wall affect effort place.
Particular opportunity seem any wife.",Hospital,Recepção C,Pediatria
Stephanie Johnson,500-04-7265,1959-08-10,Jones Ltd,Brandon Rogers,75279,FL,C,1,Dias,11:27:39,14:43:08,B01,Não,"War effort particularly education value bring realize. Audience rule food card green culture drug. Environmental should hour.
Court animal remember interview. Enjoy sport act anyone government tough.",Hospital,Recepção A,Cardiologia
Rhonda Williams,344-42-2795,1973-05-04,"Benitez, Chambers and Phillips",Jennifer White,46757,MI,C,16,Dias,10:00:57,03:43:59,C02,Não,"Phone official or officer identify doctor three next. Democrat term miss good federal all.
The different condition fund. Improve sport far. Start kid would professional.",Clínica,Recepção B,Pediatria
Ronnie Boyer,799-64-3485,1938-03-22,Sanford PLC,Taylor Vega,99738,IN,B,23,Anos,20:47:05,10:28:16,A00,Sim,"Hospital build likely responsibility move kind attack. Hand run your nor something paper cover.
Center light person space all teacher. Away hope party event office wear less.",Clínica,Recepção B,Pediatria
Daniel Nicholson,296-86-1817,1924-01-18,"Bryant, Peterson and James",Justin Miller,36952,NH,A,16,Anos,09:32:32,11:07:15,C02,Sim,"Food improve other across pretty. Fund fight analysis talk form carry.
Heavy most member production age experience. Yourself suggest unit born site expect.",Pronto-Socorro,Recepção A,Pediatria
Michelle Sanchez DVM,591-01-0643,1938-11-10,"Fowler, Bartlett and Campbell",Jessica Gardner,87528,NH,C,22,Dias,18:29:34,17:07:36,A00,Sim,Add for near maintain sing. Strong per tree benefit parent establish which. Build prevent discussion create stuff whatever notice.,Clínica,Recepção A,Ortopedia
Bruce Stout,136-59-8000,1952-08-14,Moore PLC,Matthew Garcia,85414,NV,B,6,Anos,08:32:05,16:22:58,B01,Sim,Find memory world memory meeting do. Report theory make develop.,Pronto-Socorro,Recepção C,Cardiologia
Nicholas Johns,219-88-2214,1998-10-17,"Howard, Stout and Pham",Sarah James,12687,NM,C,11,Meses,17:46:08,19:25:54,B01,Não,"Company investment doctor employee. Scene physical human mention present.
Certain kind entire little box safe. Leader the if fine feel time.",Pronto-Socorro,Recepção C,Ortopedia
Jorge Davis,367-28-6198,2007-08-18,"Harper, Miller and Dennis",Emily Small,91334,LA,B,10,Dias,16:13:49,18:40:37,B01,Não,Anyone something fund nice. Oil great type follow next size. Worry dog appear provide common crime practice.,Hospital,Recepção C,Pediatria
Miss Alexandria Richards,185-05-7553,1993-09-11,Walton PLC,Diana Soto,76890,WY,C,16,Meses,04:06:24,07:04:29,B01,Não,Only discuss recognize economic. Man source suggest pattern usually professional situation. Low level shake recently owner involve more.,Pronto-Socorro,Recepção A,Pediatria
Jeffrey Reyes,698-30-9999,1920-05-27,Lamb and Sons,Tracey Velez,10216,AK,C,24,Anos,17:18:25,23:29:37,B01,Não,Who mouth defense shoulder whole live. Forward win our song stock north. Bit measure appear size quite special reveal.,Pronto-Socorro,Recepção B,Cardiologia
Roberto Burke,135-47-7681,1928-09-12,Thomas-Garrett,Christopher Burch,65835,LA,B,27,Anos,22:20:56,22:12:09,B01,Não,Opportunity respond market this recent talk. Difference less development yes. Pm table person interesting south lawyer.,Hospital,Recepção C,Cardiologia
Richard Brown,501-56-2577,1918-09-05,Gardner-Simon,Kimberly Valencia,80613,GU,C,1,Meses,12:11:55,23:09:21,B01,Não,Bill president child physical citizen simply. Point game unit many want. Indicate pick loss certainly. Focus fast continue something.,Pronto-Socorro,Recepção B,Ortopedia
Robert Reed,087-96-8110,2003-09-12,Smith PLC,Christina Salazar,33249,NV,A,9,Anos,23:50:48,00:40:05,B01,Não,Least move different new really yeah future. Point cup Democrat movement major force kid.,Pronto-Socorro,Recepção A,Pediatria
Keith Nguyen,413-05-2474,1944-08-24,"Tucker, Strong and Ashley",Sean Brown,14390,IA,C,10,Dias,01:51:19,05:00:29,B01,Sim,"Stay off century mother law. Shoulder senior not same nothing choose.
Old option option cup.
Note prepare people room. As woman short Democrat soldier because know.",Pronto-Socorro,Recepção C,Ortopedia
Rebecca Olsen,893-42-5759,1911-10-19,"Smith, Munoz and Campbell",Lori Booker,69160,WV,C,23,Anos,18:39:26,21:53:06,C02,Sim,"Clear skill million true. Series accept security against building the thousand.
Already most pull other technology great. Heart person yeah yeah race force policy. Story forget cause.",Hospital,Recepção B,Ortopedia
Stanley Thompson,301-21-7040,1936-02-29,Brown-Valencia,Keith Nguyen,25391,LA,B,25,Meses,16:13:49,18:35:17,C02,Não,"Give near including pretty. Offer and student generation tend research. Score quickly his what reality consider.
Trouble five financial behind our. Federal daughter economy since force fast TV time.",Pronto-Socorro,Recepção B,Ortopedia
Carolyn King,872-79-6781,2010-11-08,Gilbert and Sons,Damon Mathis,91564,AS,B,24,Anos,04:35:50,14:59:59,B01,Não,Bank any show only loss something teach. Wide plan Democrat because able. Often both bank learn seek above home.,Pronto-Socorro,Recepção A,Cardiologia
Jason Lynch,276-68-0705,2023-05-13,Beltran PLC,Joseph May,69265,NV,B,19,Dias,09:40:14,18:04:34,C02,Não,Various we fight suggest situation policy scene. Network political feeling. Leg fill region American model. Police decade various realize use.,Clínica,Recepção C,Pediatria
Joseph Lewis,727-58-3462,1936-03-07,"Casey, Haas and Dixon",David Rowland,90481,RI,A,12,Dias,20:55:03,20:57:01,A00,Não,"Mouth where we.
Feeling development seek make but yet. Area step scientist official.
Often miss type catch. Up democratic provide mind project several make.",Clínica,Recepção B,Ortopedia
John Harris,411-47-7330,2021-12-01,Jones-Jordan,Michelle Dickson,84010,AL,C,11,Dias,14:16:51,06:10:24,A00,Não,"Young sense west fight defense lead possible. Bill turn story.
Service those rule by none professional college. Begin serve student condition old say do.",Pronto-Socorro,Recepção A,Pediatria
Casey West,127-79-3852,1986-01-31,"Hernandez, Wagner and Kelly",Mia Johnston,95431,MO,A,6,Anos,06:27:17,06:09:40,B01,Sim,Nature hour lay take. Several range experience window concern relationship throw. Happen believe parent throw large couple inside.,Pronto-Socorro,Recepção B,Pediatria
Anthony Ferguson,699-02-3390,1950-04-30,"Foster, Hunter and Todd",Angela Lynch,24820,ME,B,8,Dias,12:55:56,19:27:21,C02,Não,"Style trial series against. Election avoid general very.
Water claim magazine special white. Hour enter yourself sea myself team. Catch reduce responsibility.",Pronto-Socorro,Recepção B,Pediatria
Angela Anderson,046-79-1997,1936-07-01,Kaufman-Sharp,Joshua Garrett,45274,MI,C,3,Anos,04:27:14,19:53:51,B01,Sim,Single blood hope grow ok deal point. First guess worry suddenly against. Wind seek environment.,Hospital,Recepção A,Pediatria
Katrina Chan,653-82-9495,1942-03-27,"Matthews, Lee and Lee",Laura Green,70959,IL,A,6,Anos,01:00:52,15:53:07,C02,Sim,Imagine speech size create close show book. West road policy artist. Fire goal conference tough something.,Hospital,Recepção A,Pediatria
Paul Montoya,817-36-2548,1957-10-10,"Luna, Brown and Gordon",Mary Whitehead,48234,KS,B,8,Meses,05:50:14,15:53:31,A00,Não,Natural professor ability admit service determine success. Above into scene single success.,Hospital,Recepção C,Pediatria
Nancy Mullen,561-77-5556,1985-01-28,"Hunter, Atkins and Lewis",Dr. Marc Austin,41197,AL,B,21,Dias,11:03:47,04:49:50,C02,Sim,"Young tough media. Center interest total sit majority wrong.
Draw yourself why travel say bed.
Fish measure increase outside throughout its.",Pronto-Socorro,Recepção A,Pediatria
Lucas Carr,600-05-8322,1974-07-17,"Taylor, Finley and Booth",Natalie Carey,88776,IA,B,23,Anos,01:50:58,12:20:38,C02,Sim,"Present catch carry class together. Receive drug while price responsibility reflect you.
Human will huge despite. Guy laugh law health provide offer.",Clínica,Recepção A,Ortopedia
Scott Walker,267-91-8870,1979-07-21,Hall Inc,Paul Kaufman,45707,NY,B,27,Anos,03:35:39,11:08:47,A00,Sim,"Fight story son tree skin trouble determine. Image church reduce recognize choice beyond.
Military anyone director certain fast sea. Raise American image page sell force. Speak color most majority.",Pronto-Socorro,Recepção C,Ortopedia
Michael Miller,876-04-9945,1950-10-24,Jacobson LLC,Angel Willis,67577,MA,B,8,Anos,11:56:24,05:37:08,A00,Não,Election company citizen middle course thought. Compare fire stand mother summer. Kind power market create. Technology oil animal.,Clínica,Recepção C,Ortopedia
Mary Glover,307-56-7032,1989-06-22,Lane LLC,Lori Scott,28220,UT,A,1,Dias,11:08:34,09:20:46,C02,Sim,"Find over include sort. Education public national suggest management language company.
Source visit inside democratic true reduce. Role thing do walk seat.",Clínica,Recepção A,Cardiologia
Charles Walker,040-03-9400,1918-02-17,Johnson PLC,Jessica Melendez DVM,45978,SC,A,11,Anos,22:08:36,06:20:32,B01,Sim,Modern military plan contain. Population notice artist. Herself movement thousand also media product them know.,Hospital,Recepção C,Ortopedia
James Bates,146-96-4456,1989-02-11,"Haney, Pierce and Williams",Robert Castro,82650,ME,B,11,Meses,18:06:17,23:00:44,C02,Sim,Dark make water. Bank couple instead help. Fire data man book.,Pronto-Socorro,Recepção A,Ortopedia
Ashley Fernandez,811-51-9806,1923-05-03,Cross-Manning,Megan Walker,37800,IN,A,3,Dias,23:38:05,06:57:15,C02,Sim,"Lay move research person Congress. Baby radio prove miss. Everyone question about help pretty.
Trade stuff up later reduce. Including use some technology seek we performance.",Pronto-Socorro,Recepção B,Cardiologia
Michelle Smith,500-38-2879,1924-11-12,"Jackson, Cruz and Hughes",Sarah King,68330,VT,C,29,Dias,02:50:52,20:19:22,B01,Sim,"Consumer even region senior compare town by. Strong enough help song. Air year bar resource occur form treat later.
Around present crime Republican that to state. Sense top television firm.",Hospital,Recepção B,Pediatria
Carol Carter,429-64-6614,1963-08-12,"Myers, Tucker and Freeman",Michael Weaver,51343,PW,A,7,Dias,01:58:24,16:41:12,B01,Não,"Perform gas TV entire participant. Along catch enough south wind research state game. How especially animal think person few product.
Son face type else.",Hospital,Recepção A,Pediatria
Nicholas Williams,831-62-3879,1947-10-16,Franklin-Huynh,David Carter,82313,OK,C,11,Anos,18:01:55,10:09:44,A00,Sim,"Popular window support effect music above apply. Day every TV believe.
Either country professional class. Matter notice ball. Organization accept campaign card technology reduce.",Pronto-Socorro,Recepção B,Ortopedia
Jasmine Jones,328-55-4708,2013-08-15,Clay and Sons,Troy Shepard,97511,DC,C,7,Anos,20:25:43,01:13:29,C02,Não,"Land recently safe alone realize fire.
Name how more child mention star. Admit hospital effort her.",Pronto-Socorro,Recepção B,Ortopedia
Sara Avery,044-51-1569,1921-05-03,"Vargas, Thomas and Rice",Ashley Gray,89368,PW,B,4,Meses,22:45:48,15:58:11,B01,Sim,Teach sound bit tell book side. Southern space quickly true. Political hear wife where receive soon easy situation.,Hospital,Recepção C,Pediatria
Sara Conway,687-86-6018,1942-07-03,"Thomas, Bolton and Hays",Thomas Campbell,62442,OK,B,19,Dias,00:11:39,11:37:07,C02,Não,Blue ball understand few. Hope tell kitchen newspaper note. Identify protect TV this.,Pronto-Socorro,Recepção A,Ortopedia
Thomas Nelson,507-61-1281,1974-02-14,"Lang, Barron and Welch",James Dean,26209,WY,C,17,Anos,04:37:56,07:05:41,A00,Não,"Matter boy enough family father. Let somebody wait camera former hour probably pull.
Stay yeah any few. Sense Mrs finally cold anything charge.",Clínica,Recepção A,Ortopedia
Brandon Morgan,269-69-2786,1999-05-27,Roberts-Chang,Alexander Hernandez,41987,MI,B,20,Meses,09:02:07,05:09:57,B01,Não,"Person interest with reduce meeting democratic smile. Ahead behind born marriage success. Once peace none by staff.
Former north everybody with each he.",Clínica,Recepção A,Ortopedia
Bradley Hall,406-09-7128,2000-03-27,Stone-Phillips,Steven Morrison DVM,86889,TN,C,9,Anos,05:42:53,05:04:51,C02,Sim,"Business we nor fact. Catch seat surface machine.
Threat modern pay road catch. Word life understand red growth. Suggest enjoy general develop meet.",Clínica,Recepção C,Ortopedia
Ryan Thomas,742-45-2337,1940-02-21,"Wright, Taylor and Bishop",Kimberly Sawyer,69766,MP,C,22,Meses,20:36:09,07:08:15,C02,Sim,"Charge stand truth wish story ball. Method bad number cut as degree official.
Now single position accept agreement land government. Majority fight drug popular type none mother.",Clínica,Recepção C,Ortopedia
Darrell Huffman,009-61-0240,2013-10-18,"Scott, Marsh and Marshall",Richard Daniel,94102,IL,C,19,Dias,22:23:08,01:56:27,C02,Sim,Bag Mrs again represent pay line. Republican item yeah thank everything. Lot the do writer.,Hospital,Recepção A,Cardiologia
Joshua Williamson,162-48-3368,1970-02-18,Holmes and Sons,Donald Bell,47784,OH,C,16,Dias,23:15:11,19:04:49,A00,Sim,News here fund performance new arrive thank. That all find provide age participant. Weight price store for bill member wait.,Pronto-Socorro,Recepção B,Ortopedia
Donna Lozano,007-53-4314,1937-10-29,Snyder-Lee,George Hart,46751,GU,A,11,Dias,08:26:52,04:08:41,C02,Não,Perform teacher girl notice task. Former charge available actually great morning. High old detail new election study term. Shoulder company crime side compare old population.,Hospital,Recepção A,Cardiologia
Melissa Davis,208-12-3110,1993-07-08,"Lutz, Tanner and Davis",Jessica Wilkinson,85132,AS,C,12,Dias,07:24:36,12:54:42,B01,Sim,"Whose coach develop organization enter newspaper.
Away partner across ground face ground occur. Want western seem year girl.
Way sea event tonight interest follow.",Hospital,Recepção B,Cardiologia
David Garcia,678-30-8939,2022-04-24,Smith-Herrera,Kevin Johnson,17030,KY,A,26,Dias,20:43:26,19:18:01,A00,Sim,"Very position pick name. Standard after skin win certain to. Begin dinner language money.
Meet send before whole class line. Wonder performance room why lay community.",Clínica,Recepção B,Pediatria
Amanda Robbins,877-96-2373,1956-09-13,May PLC,John Good,21850,MH,A,10,Meses,05:59:06,10:58:06,B01,Sim,Station accept evidence candidate pull end feel. Answer seat all understand out. Marriage article reduce dark off. Experience end TV exactly plant year them.,Clínica,Recepção C,Cardiologia
Mr. Michael Lyons,190-90-8411,2003-05-25,"Harris, Davis and Carlson",Erica Barr,85494,HI,C,29,Meses,02:45:12,04:44:32,A00,Não,Song sea strong score upon line. Democrat use focus quality maybe specific then. Side manager start room. Each Mr quite deep college lead but.,Pronto-Socorro,Recepção B,Pediatria
William Burke,828-63-1213,2013-12-24,Mason-Thomas,Carlos Keller,43926,NH,B,4,Dias,15:59:45,08:04:51,C02,Não,"Hospital however notice live fear member. Defense middle notice heavy what.
Blood couple she test. Add degree treat painting project firm. Professor seem no condition rock until.",Hospital,Recepção B,Ortopedia
Andrea Manning,444-07-9865,1923-09-09,"Allen, Harris and Copeland",George Rodriguez,55878,CA,C,19,Anos,14:10:36,20:01:24,A00,Não,"Tv party shoulder medical realize. After join the. Leave team behind line face middle.
Including purpose nearly evening see star. Will word computer.",Pronto-Socorro,Recepção A,Cardiologia
Diane Sanford,709-64-0945,1926-01-25,"Hernandez, Ortiz and Phillips",Ian Dixon,20127,CA,A,29,Dias,13:37:46,17:51:16,A00,Não,"Happy fact much gas difference let. Couple technology happy according.
Especially drop spring fish for me explain phone. Among range million song treat case.",Pronto-Socorro,Recepção B,Ortopedia
Travis Forbes,062-23-4500,1944-07-19,Porter PLC,Adam Ballard,75766,NV,B,1,Anos,00:46:41,05:49:58,B01,Sim,"Conference window skin cover speak father total. School region say order simple even small.
Require resource make boy need. Also assume hundred candidate doctor.",Pronto-Socorro,Recepção B,Ortopedia
Cheryl Moore,679-99-8951,1951-01-06,Brock LLC,Connie Brown,65803,ND,C,15,Dias,21:53:05,15:57:36,C02,Não,Community itself those away store study. American say garden tend push social Democrat. Month red lose fight cut yeah.,Clínica,Recepção A,Cardiologia
Kyle Brown,163-49-3704,1985-01-25,Scott LLC,Rachel May,20684,NH,B,26,Dias,13:32:29,20:50:07,C02,Sim,Serve call music current know. Raise idea Congress television. Friend cover sound pull their.,Clínica,Recepção C,Ortopedia
Lisa Jimenez,549-32-4566,2007-01-21,"Mcmahon, Pittman and Rodriguez",Amanda Dorsey,13859,MS,C,2,Meses,18:56:35,03:16:50,A00,Sim,"True range maintain.
Window war wrong role. Doctor hold office score free dark interesting most. Walk term work cost entire ten six ball.",Hospital,Recepção A,Pediatria
Theresa Roman,193-78-2153,1994-06-19,Davis PLC,Mrs. Wendy Gonzalez MD,70927,VT,A,26,Dias,16:12:41,02:21:21,C02,Sim,"Blood grow next leave movie. Southern much support hope include.
Reveal whether process check. About probably man return interest. Law lose return.",Clínica,Recepção A,Cardiologia
Jonathan Dalton,706-78-0035,1991-02-16,"Bauer, Fisher and Johnson",Jessica Smith,22655,NV,A,21,Dias,02:26:49,08:24:41,C02,Não,"Why could serious else likely. Million attention change fire. Industry fight type manager modern.
Maintain here care other.
Class health involve total address kid article. Loss space amount.",Pronto-Socorro,Recepção C,Pediatria
Arthur Ray,848-18-8789,1991-01-03,Wilson-Greene,Amy Jimenez,81281,CA,A,15,Dias,18:52:14,04:28:46,B01,Não,Figure production per short option cut finally. Maybe experience hold toward bit cultural article forward. Difference yes of involve put item capital. Edge wear manage other people.,Pronto-Socorro,Recepção C,Cardiologia
Brett Sanchez,090-73-5848,1937-11-14,Fernandez Ltd,Lauren Young,90346,DE,C,19,Anos,23:57:19,10:59:31,A00,Sim,"Away home situation smile man. Several can people evening theory. Available special resource worry any.
Mean prepare bank why apply by affect reflect. That remain body ability detail even.",Hospital,Recepção B,Pediatria
Tina Montgomery,099-89-7948,2015-10-16,"Moore, Gonzales and Wood",Leslie Wilson,67130,AS,B,8,Meses,10:08:07,17:08:27,A00,Sim,Similar deep recent after. Increase federal up moment war. Upon entire do cultural.,Hospital,Recepção C,Ortopedia
Jeremy Nelson,042-47-0669,1971-05-02,"Rivera, Perkins and Richmond",Daniel Romero,78504,DE,C,27,Anos,22:04:58,22:04:01,A00,Não,Agent fear news note fact data thing relationship. Simple small feel color until hear two low. Particularly discover direction social whose.,Hospital,Recepção B,Cardiologia
Toni Floyd,375-42-3979,1918-03-20,Thomas-Nelson,Kelli Adams,26254,IA,A,27,Dias,04:18:12,15:46:52,A00,Não,"Indicate onto day product arm chance.
Money no fact check. Commercial mission traditional gun. During usually woman provide green discuss when gun.",Hospital,Recepção A,Ortopedia
Tracy Austin,755-05-6064,1939-04-24,Morgan Inc,Amanda Dunn,28743,CT,B,22,Dias,13:47:29,02:03:09,A00,Não,Choice action building. Wait citizen low statement. Agent recent sometimes character catch continue.,Pronto-Socorro,Recepção A,Pediatria
Billy Pierce,174-92-2597,1960-10-09,"Dillon, Garrett and Adams",Lucas Forbes,10524,PA,A,15,Dias,02:14:07,18:53:06,C02,Sim,Campaign believe star spend still. Direction suggest image particularly enjoy green investment enjoy. Record spend environment task organization single until.,Clínica,Recepção A,Ortopedia
Douglas Morrison,489-95-5037,2023-06-20,Stone-Duran,Michael Johnson Jr.,85466,NC,A,6,Meses,15:30:00,00:15:54,C02,Não,"Total cold task. Sing surface deep plant happy agent nation. Science number case police sound.
Writer speech society six last perhaps one top. Admit play be.",Pronto-Socorro,Recepção C,Ortopedia
Kayla Grant,179-52-8294,1985-03-19,"Lopez, Santos and Stephens",Rebecca Cameron,74857,NV,C,6,Dias,09:22:01,13:26:37,B01,Sim,"Administration let read lot decide.
Similar already cut. Will mouth fish commercial understand science seat. Play garden play like.
Sort begin usually contain. White market certainly learn hotel do.",Hospital,Recepção C,Ortopedia
Angela Bryant,015-74-7128,1935-01-16,"Lee, Acevedo and Davis",Zachary Sutton,65914,NJ,C,21,Meses,03:15:19,23:01:21,C02,Não,"Dog machine together happy appear apply only. Score sometimes issue culture ground.
After through television rise seem. Environment good letter ok.",Clínica,Recepção A,Pediatria
Elizabeth Torres,752-32-8423,1948-10-07,Carter LLC,Michael Rhodes DVM,69829,NC,A,12,Meses,10:21:28,11:20:44,A00,Sim,"Measure not able cut official moment. Serious those include though significant go something.
Young customer art result heavy once six. Five hard beautiful behind many service.",Hospital,Recepção C,Cardiologia
Terry Hanson,021-32-7263,2016-07-04,Watson Ltd,Michael Patel,86170,TX,B,3,Anos,18:44:17,09:07:26,C02,Sim,"Clear west expert himself its ago test. Piece anything white maybe seek. Nothing strategy agency.
Radio prepare Mrs any. Seven far your short pass.",Hospital,Recepção C,Ortopedia
Barbara Simmons,835-72-2490,1989-08-19,Walker-Burns,Kenneth Edwards,38602,MS,B,16,Dias,06:08:23,06:42:45,C02,Não,Protect each run network point. Direction weight like charge six factor your. Stop safe coach administration turn.,Hospital,Recepção B,Pediatria
Sydney Parker,310-45-5961,1953-03-14,Ross PLC,Angela Jones,53143,MA,C,13,Anos,11:22:20,17:48:22,C02,Não,"After party finish raise Congress carry assume letter.
Although may theory close difficult. Show assume our summer able leave section eight.",Pronto-Socorro,Recepção B,Ortopedia
Brian Morse,359-46-2029,1922-07-06,Rodriguez-Manning,Maurice Juarez,64592,WA,B,2,Dias,03:36:49,22:47:13,C02,Não,Serious drug bed soon type shoulder population. Note prove campaign career general.,Clínica,Recepção B,Ortopedia
Christopher Stafford,707-86-8134,1941-08-01,Smith-Anderson,Cassandra Tran,46527,IL,A,4,Meses,04:16:11,18:23:57,B01,Não,Out anything relationship seat blood teacher however. Scientist central whom strong director environmental. Support put may cost. Front knowledge ever total around man practice.,Clínica,Recepção B,Cardiologia
Jessica Lloyd,726-82-9587,2020-01-27,"Cain, Mcneil and Reynolds",Mr. Jeffrey Williams DVM,74746,MP,A,7,Meses,09:51:16,19:36:49,A00,Sim,"Machine able need to model federal support. Manage item simple agency beautiful create.
Bank detail market chance might personal. Herself when break body public special.",Pronto-Socorro,Recepção C,Pediatria
Teresa Velasquez,477-54-4162,1916-06-03,Jackson-Ward,Carl Johnson,65589,WI,B,6,Anos,17:33:53,00:01:38,B01,Sim,Drug TV billion professional office new boy. Throw green explain firm stock game.,Clínica,Recepção B,Ortopedia
Justin Thomas,524-63-1564,2000-09-07,Cummings-Allen,Timothy Martinez,28432,NY,B,2,Dias,12:01:07,07:42:56,C02,Não,"In place interesting eat age apply modern. Seven shake know guess go attack officer. Federal million management since.
Sport avoid boy yes. Figure growth me again.",Pronto-Socorro,Recepção B,Pediatria
